Fichier, Temps d'execution_AlgoNaif (ms), Temps d'execution_Welzl (ms)
test-10.points, 163.38, 4.06
test-100.points, 102.24, 0.89
test-1000.points, 82.72, 0.49
test-1001.points, 76.97, 0.87
test-1002.points, 66.91, 0.51
test-1003.points, 60.50, 0.75
test-1004.points, 60.69, 0.50
test-1005.points, 86.77, 0.90
test-1006.points, 68.00, 0.54
test-1007.points, 73.17, 0.70
test-1008.points, 82.01, 0.40
test-1009.points, 64.19, 0.23
test-101.points, 68.32, 0.45
test-1010.points, 61.52, 0.56
test-1011.points, 95.43, 0.55
test-1012.points, 80.93, 0.75
test-1013.points, 74.03, 0.61
test-1014.points, 59.05, 0.48
test-1015.points, 76.43, 0.48
test-1016.points, 88.13, 0.33
test-1017.points, 62.59, 0.25
test-1018.points, 70.54, 0.47
test-1019.points, 80.31, 0.47
test-102.points, 90.94, 0.37
test-1020.points, 59.85, 0.32
test-1021.points, 72.68, 0.21
test-1022.points, 64.34, 0.59
test-1023.points, 88.11, 0.24
test-1024.points, 84.80, 0.36
test-1025.points, 78.29, 0.25
test-1026.points, 57.90, 0.71
test-1027.points, 74.22, 0.71
test-1028.points, 84.89, 0.24
test-1029.points, 71.09, 0.42
test-103.points, 78.68, 0.40
test-1030.points, 86.70, 0.66
test-1031.points, 67.71, 0.27
test-1032.points, 93.42, 0.83
test-1033.points, 65.70, 0.66
test-1034.points, 73.62, 0.57
test-1035.points, 69.45, 0.46
test-1036.points, 60.28, 0.47
test-1037.points, 68.68, 0.46
test-1038.points, 64.09, 0.33
test-1039.points, 79.77, 0.43
test-104.points, 81.43, 0.38
test-1040.points, 57.38, 0.48
test-1041.points, 79.64, 0.28
test-1042.points, 55.96, 0.58
test-1043.points, 74.54, 0.24
test-1044.points, 81.24, 0.37
test-1045.points, 58.44, 0.61
test-1046.points, 66.83, 0.31
test-1047.points, 68.67, 0.46
test-1048.points, 62.95, 0.41
test-1049.points, 72.72, 0.40
test-105.points, 85.84, 0.18
test-1050.points, 87.13, 0.34
test-1051.points, 88.05, 0.66
test-1052.points, 76.85, 0.60
test-1053.points, 79.04, 0.27
test-1054.points, 77.40, 0.41
test-1055.points, 75.32, 0.21
test-1056.points, 64.33, 0.46
test-1057.points, 85.75, 0.16
test-1058.points, 75.18, 0.59
test-1059.points, 64.78, 0.18
test-106.points, 82.72, 0.17
test-1060.points, 71.75, 0.68
test-1061.points, 73.10, 0.33
test-1062.points, 77.03, 0.44
test-1063.points, 59.86, 0.57
test-1064.points, 98.97, 0.43
test-1065.points, 61.03, 0.26
test-1066.points, 60.37, 0.82
test-1067.points, 97.47, 0.53
test-1068.points, 73.33, 0.50
test-1069.points, 62.53, 0.47
test-107.points, 72.43, 0.49
test-1070.points, 59.88, 0.41
test-1071.points, 85.84, 0.27
test-1072.points, 87.53, 0.38
test-1073.points, 74.18, 0.30
test-1074.points, 81.72, 0.22
test-1075.points, 69.09, 0.53
test-1076.points, 57.80, 0.21
test-1077.points, 57.42, 0.18
test-1078.points, 64.87, 0.57
test-1079.points, 58.88, 0.39
test-108.points, 79.87, 0.30
test-1080.points, 63.12, 0.16
test-1081.points, 66.17, 0.70
test-1082.points, 68.07, 0.32
test-1083.points, 85.64, 0.41
test-1084.points, 99.56, 0.15
test-1085.points, 67.88, 0.58
test-1086.points, 70.63, 0.31
test-1087.points, 68.73, 0.47
test-1088.points, 76.53, 0.17
test-1089.points, 63.17, 0.25
test-109.points, 74.19, 0.20
test-1090.points, 96.34, 0.40
test-1091.points, 69.89, 0.48
test-1092.points, 84.68, 0.56
test-1093.points, 73.00, 0.31
test-1094.points, 61.73, 0.29
test-1095.points, 60.86, 0.33
test-1096.points, 70.20, 0.32
test-1097.points, 79.43, 0.77
test-1098.points, 72.68, 0.59
test-1099.points, 81.56, 0.46
test-11.points, 58.69, 0.94
test-110.points, 82.66, 0.21
test-1100.points, 65.39, 0.57
test-1101.points, 90.88, 0.45
test-1102.points, 64.18, 0.58
test-1103.points, 84.31, 0.61
test-1104.points, 57.69, 0.37
test-1105.points, 68.05, 0.43
test-1106.points, 62.66, 0.16
test-1107.points, 81.52, 0.50
test-1108.points, 68.14, 0.41
test-1109.points, 74.41, 0.29
test-111.points, 66.25, 0.19
test-1110.points, 86.13, 0.65
test-1111.points, 95.87, 0.63
test-1112.points, 65.50, 0.55
test-1113.points, 70.05, 0.43
test-1114.points, 59.26, 0.34
test-1115.points, 59.37, 0.45
test-1116.points, 59.04, 0.35
test-1117.points, 88.31, 0.36
test-1118.points, 74.63, 0.31
test-1119.points, 71.58, 0.23
test-112.points, 73.50, 0.40
test-1120.points, 73.08, 1.25
test-1121.points, 91.43, 0.16
test-1122.points, 74.41, 0.13
test-1123.points, 72.24, 0.12
test-1124.points, 67.76, 0.21
test-1125.points, 70.18, 0.27
test-1126.points, 79.77, 0.13
test-1127.points, 69.26, 0.42
test-1128.points, 68.13, 0.12
test-1129.points, 78.81, 0.66
test-113.points, 0.15, 0.19
test-1130.points, 88.03, 0.18
test-1131.points, 76.06, 0.08
test-1132.points, 72.11, 0.28
test-1133.points, 78.05, 0.24
test-1134.points, 75.20, 0.24
test-1135.points, 74.24, 0.14
test-1136.points, 73.54, 0.17
test-1137.points, 73.71, 0.37
test-1138.points, 75.15, 0.17
test-1139.points, 62.56, 0.21
test-114.points, 76.28, 0.37
test-1140.points, 90.20, 0.18
test-1141.points, 79.49, 0.30
test-1142.points, 63.58, 0.29
test-1143.points, 62.17, 0.20
test-1144.points, 66.83, 0.22
test-1145.points, 61.89, 0.16
test-1146.points, 59.74, 0.37
test-1147.points, 74.85, 0.35
test-1148.points, 57.83, 0.23
test-1149.points, 0.19, 0.12
test-115.points, 80.34, 0.27
test-1150.points, 78.32, 0.15
test-1151.points, 60.80, 0.32
test-1152.points, 69.38, 0.19
test-1153.points, 58.59, 0.18
test-1154.points, 72.45, 0.18
test-1155.points, 79.60, 0.34
test-1156.points, 83.16, 0.28
test-1157.points, 79.50, 0.17
test-1158.points, 65.62, 0.15
test-1159.points, 74.80, 0.35
test-116.points, 71.09, 0.14
test-1160.points, 81.28, 0.16
test-1161.points, 61.18, 0.60
test-1162.points, 83.40, 0.25
test-1163.points, 87.33, 0.17
test-1164.points, 76.18, 0.22
test-1165.points, 84.65, 0.26
test-1166.points, 67.25, 0.36
test-1167.points, 83.23, 0.32
test-1168.points, 77.94, 0.31
test-1169.points, 74.56, 0.34
test-117.points, 69.70, 0.50
test-1170.points, 82.53, 0.23
test-1171.points, 0.03, 0.08
test-1172.points, 62.56, 0.27
test-1173.points, 75.21, 0.28
test-1174.points, 63.85, 0.07
test-1175.points, 87.87, 0.19
test-1176.points, 63.54, 0.34
test-1177.points, 81.14, 0.10
test-1178.points, 76.97, 0.19
test-1179.points, 89.32, 0.19
test-118.points, 68.30, 0.45
test-1180.points, 60.86, 0.16
test-1181.points, 89.48, 0.10
test-1182.points, 90.10, 0.34
test-1183.points, 69.83, 0.11
test-1184.points, 80.70, 0.19
test-1185.points, 88.86, 0.22
test-1186.points, 80.96, 0.13
test-1187.points, 75.43, 0.14
test-1188.points, 0.59, 0.42
test-1189.points, 77.77, 0.20
test-119.points, 61.65, 0.20
test-1190.points, 73.49, 0.21
test-1191.points, 73.87, 0.36
test-1192.points, 67.10, 0.08
test-1193.points, 58.95, 0.29
test-1194.points, 61.51, 0.15
test-1195.points, 76.11, 0.22
test-1196.points, 71.58, 0.09
test-1197.points, 88.65, 0.19
test-1198.points, 81.71, 0.14
test-1199.points, 71.89, 0.36
test-12.points, 90.37, 0.46
test-120.points, 85.99, 0.12
test-1200.points, 75.16, 0.18
test-1201.points, 74.85, 0.24
test-1202.points, 68.38, 0.27
test-1203.points, 63.38, 0.25
test-1204.points, 81.35, 0.14
test-1205.points, 66.78, 0.24
test-1206.points, 79.45, 0.17
