Nombre de points, Temps d'execution_AlgoWelzl (ms)
200,0.18
210,0.23
220,0.81
230,0.25
240,0.19
250,0.3
260,0.16
270,0.25
280,0.11
290,0.23
300,0.2
310,0.15
320,0.47
330,0.31
340,0.3
350,0.22
360,0.19
370,0.27
380,0.2
390,0.47
400,0.31
410,0.69
420,0.8
430,0.63
440,0.31
450,0.46
460,0.92
470,0.27
480,0.27
490,0.38
500,0.29
510,0.99
520,0.58
530,0.63
540,0.53
550,0.42
560,0.92
570,0.83
580,0.37
590,0.46
600,1.19
610,0.81
620,0.84
630,0.75
640,0.62
650,0.58
660,0.5
670,0.68
680,0.52
690,1.04
700,0.26
710,1.28
720,1.47
730,1.17
740,0.78
750,0.6
760,0.55
770,0.89
780,1.15
790,0.51
800,1.59
810,0.58
820,1.1
830,1.06
840,0.39
850,0.38
860,1.06
870,0.56
880,1.27
890,1.44
900,0.65
910,0.64
920,0.96
930,0.9
940,0.65
950,0.89
960,1.01
970,2.52
980,1.98
990,2.2
1010,7.58
1020,3.17
1030,1.76
1040,5.59
1050,6.69
1060,1.61
1070,1.39
1080,1.17
1090,1.97
1100,2.4
1110,4.93
1120,3.19
1130,2.32
1140,3.93
1150,5.19
1160,3.8
1170,7
1180,7.13
1190,5.01
1200,5.92
1210,2.21
1220,9.41
1230,3.79
1240,2.94
1250,1.72
1260,2.11
1270,2.33
1280,1.15
1290,3.21
1300,0.99
1310,2.42
1320,1.42
1330,1.78
1340,2.21
1350,0.95
1360,3.59
1370,1.71
1380,3.77
1390,1.61
1400,2.02
1410,1.98
1420,2.86
1430,3.89
1440,2.15
1450,3.31
1460,1.82
1470,2.64
1480,1.75
1490,8.24
1500,1.46
1510,2.4
1520,1.86
1530,3.03
1540,3.38
1550,1.97
1560,7.08
1570,4.45
1580,3.52
1590,6.07
1600,4.63
1610,1.49
1620,2.81
1630,1.74
1640,3.01
1650,2.66
1660,4.17
1670,2.31
1680,5.16
1690,11.5
1700,16.67
1710,3.28
1720,2.6
1730,3.55
1740,2.29
1750,2.21
1760,2.25
1770,5.27
1780,2.62
1790,3.65
1800,10.36
1810,5.25
1820,2.16
1830,2.46
1840,4.09
1850,4.26
1860,2.61
1870,4.96
1880,3.76
1890,2.62
1900,3.47
1910,2.89
1920,2.93
1930,3.29
1940,3.15
1950,8.88
1960,2.06
1970,4.25
1980,4.21
1990,9.44
2000,3.48
2010,10.02
2020,12.29
2030,2.1
2040,3.92
2050,2.32
2060,10.52
2070,3.96
2080,4.25
2090,9.51
2100,4.16
2110,3.49
2120,5.01
2130,2.42
2140,15.76
2150,5.69
2160,16.03
2170,6.71
2180,5.87
2190,22.76
2200,8.2
2210,2.36
2220,3.01
2230,4.12
2240,4.38
2250,4.21
2260,2.26
2270,9.02
2280,5.4
2290,7.53
2300,6.66
2310,7.45
2320,8.56
2330,3.97
2340,3.73
2350,3.21
2360,3.66
2370,12.8
2380,6.27
2390,8.57
2400,2.55
2410,16.55
2420,6.82
2430,8.16
2440,13.47
2450,4.83
2460,9.69
2470,2.71
2480,4.48
2490,4.98
2500,5.44
2510,5.27
2520,21.01
2530,4.71
2540,6.64
2550,7.33
2560,3.53
2570,13.27
2580,5.85
2590,17.48
2600,19.03
2610,12.34
2620,19.34
2630,51.26
2640,5.25
2650,7.32
2660,7.72
2670,6.29
2680,8.11
2690,15.96
2700,9.21
2710,8.18
2720,20.95
2730,5.09
2740,10.49
2750,5.04
2760,5.33
2770,18.57
2780,7.22
2790,8.77
2800,16.98
2810,17.63
2820,12.73
2830,11.46
2840,15.83
2850,4.17
2860,12.64
2870,7.67
2880,27.76
2890,6.33
2900,14.61
2910,21.87
2920,16.27
2930,5.84
2940,53.03
2950,61.3
2960,98.6
2970,56.95
2980,11.81
2990,31.62
